TeamNumber,TeamName,TeamShortName,ImageFileName,TeamColor
1,Canada,CAN,1-CAN.png,000000FF
2,Poland,POL,2-POL.png,DD0C39FF
3,Finland,FIN,3-FIN.png,002F6CFF
4,Denmark,DNK,4-DNK.png,c7042cFF
5,Brazil,BRA,5-BRA.png,009C3BFF
6,Germany,DEU,6-DEU.png,C0C0C0FF
7,France,FRA,7-FRA.png,002654FF
8,United Kingdom,GBR,8-GBR.png,004225FF
9,Sweden,SWE,9-SWE.png,006AA9FF
10,Norway,NOR,10-NOR.png,BA0C2FFF
11,Spain,ESP,11-ESP.png,630B57FF
12,Austria,AUT,12-AUT.png,FFCC00FF
13,Turkey,TUR,13-TUR.png,40E0D0FF
14,USA,USA,14-USA.png,B22234FF
15,Portugal,PRT,15-PRT.png,006600FF
16,Argentina,ARG,16-ARG.png,74ACDFFF
17,Korea,PRK,17-PRK.png,FFFFFFFF
18,Japan,JPN,18-JPN.png,E8F48CFF
19,Australia,AUS,19-AUS.png,00843DFF
20,China,CHN,20-CHN.png,DD0000FF
21,Croatia,HRV,21-HRV.png,171796FF
22,Greece,GRC,22-GRC.png,0D5EAFFF
23,Ukraine,UKR,23-UKR.png,FFD700FF
24,Italy,ITA,24-ITA.png,007FFFFF
25,Europe,EU,25-EU.png,003399ff
26,Switzerland,CHE,26-CHE.png,DA291Cff
27,Saudi Arabia,SAU,27-SAU.png,005430ff
28,South Africa,ZAF,28-ZAF.png,000000ff
29,Morocco,MAR,29-MAR.png,006233ff
30,Thailand,THA,30-THA.png,D6AEDDff
31,Israel,ISR,31-ISR.png,0038B8ff
32,Jamaica,JAM,32-JAM.png,007749ff
33,Cuba,CUB,33-CUB.png,CC0D0Dff
34,Uruguay,URY,34-URY.png,75AADBff
35,Colombia,COL,35-COL.png,FCD116ff
36,Congo,COD,36-COD.png,007fffff
37,India,IND,37-IND.png,E60077ff
38,Kenya,KEN,38-KEN.png,000000ff
39,Wales,GB-WLS,39-GB-WLS.png,00b33eff
40,Czechia,CZE,40-CZE.png,11457Eff
41,Scotland,GB-SCT,41-GB-SCT.png,005EB8ff
42,Kazakhstan,KAZ,42-KAZ.png,00ABC2ff
43,Ireland,IRL,43-IRL.png,FF883Eff
44,Algeria,DZA,44-DZA.png,ffffffff
45,Romania,ROU,45-ROU.png,FCD116ff
46,Angola,AGO,46-AGO.png,000000ff
47,Bahamas,BHS,47-BHS.png,00778Bff
48,Greenland,GRL,48-GRL.png,C8102Eff
49,Olympics,OLY,49-OLY.png,ffffffff
50,Pirate,PIR,50-PIR.png,000000ff
